TIME,bikes taken
2018-08-01,0.5268902205788601
2018-08-04,0.2882996632996633
2018-08-07,0.5156460437710437
2018-08-10,0.36256313131313134
2018-08-13,0.5066813973063973
2018-08-16,0.4404671717171717
2018-08-19,0.4227928870292887
2018-08-22,0.4965283552303343
2018-08-25,0.31546585648148145
2018-08-28,0.5208953373015873
2018-08-31,0.36688988095238095
2018-09-03,0.5182558472857764
2018-09-06,0.41789118245371276
2018-09-09,0.4263970829236316
2018-09-12,0.5123422648312029
2018-09-15,0.3486766633890528
2018-09-18,0.47416702364409524
2018-09-21,0.3420804654211734
2018-09-24,0.5284523564519449
2018-09-27,0.4504670599803343
2018-09-30,0.41284619796787936
2018-10-03,0.5224684518313327
2018-10-06,0.3427463670777873
2018-10-09,0.5275544184535412
2018-10-12,0.3119416016894087
2018-10-15,0.5147417153996101
2018-10-18,0.44737857374918777
2018-10-21,0.41587475633528265
2018-10-24,0.5122441520467836
2018-10-27,0.23639486898009798
2018-10-30,0.48414878214954865
2018-11-02,0.3425944888160739
2018-11-05,0.4543383251517223
2018-11-08,0.38627964587394414
2018-11-11,0.4019434449391149
2018-11-14,0.5170827184784391
2018-11-17,0.3398716699155296
2018-11-20,0.42307301819363224
2018-11-23,0.321698343079922
2018-11-26,0.4335810591293047
2018-11-29,0.38285458722123966
2018-12-02,0.38556895711500977
2018-12-05,0.4612573099415205
2018-12-08,0.29227582846003897
2018-12-11,0.4717958089668616
2018-12-14,0.27843245003459927
2018-12-17,0.4591455490578298
2018-12-20,0.3744822124756335
2018-12-23,0.1490212800519818
2018-12-26,0.18716496101364521
2018-12-29,0.21121669915529565
2019-01-01,0.30815596348925617
2019-01-04,0.2946617121507472
2019-01-07,0.46108471410006496
2019-01-10,0.38977217348927873
2019-01-13,0.3843506335282651
2019-01-16,0.46814083820662766
2019-01-19,0.2925499512670565
2019-01-22,0.45699263718830085
2019-01-25,0.29944075712881024
2019-01-28,0.45649991805965257
2019-01-31,0.3647984267453294
2019-02-03,0.3668059652572927
2019-02-06,0.46052564115710787
2019-02-09,0.29225049164208455
2019-02-12,0.4906280727630285
2019-02-15,0.32375829004373446
2019-02-18,0.4703171091445428
2019-02-21,0.42120411340544084
2019-02-24,0.4055637495902983
2019-02-27,0.49080219600131103
2019-03-02,0.27448992133726646
2019-03-05,0.467907521097263
2019-03-08,0.29797893463424896
2019-03-11,0.4467232026579436
2019-03-14,0.3619499789784555
2019-03-17,0.2802052605703048
2019-03-20,0.485281465093412
2019-03-23,0.33224852678479766
2019-03-26,0.5109800065552278
2019-03-29,0.33549450999672237
2019-04-01,0.4544550292763461
2019-04-04,0.3759730416256965
2019-04-07,0.37586037364798425
2019-04-10,0.4995083579154376
2019-04-13,0.2959890199934448
2019-04-16,0.49582104228121926
2019-04-19,0.28796910848902
2019-04-22,0.37528679121599473
2019-04-25,0.3767002622091118
2019-04-28,0.3891347099311701
2019-05-01,0.5044555063913471
2019-05-04,0.23641838741396262
2019-05-07,0.44055227794165847
2019-05-10,0.34281792854801707
2019-05-13,0.5026220911176663
2019-05-16,0.4255059816453622
2019-05-19,0.41517976305361065
2019-05-22,0.5203929039659129
2019-05-25,0.33318993772533595
2019-05-28,0.4840421173385775
2019-05-31,0.33778883972468043
2019-06-03,0.32880063313907476
2019-06-06,0.4249119141265159
2019-06-09,0.40133379988885
2019-06-12,0.37447988904299584
2019-06-15,
2019-06-18,
2019-06-21,
2019-06-24,
2019-06-27,
2019-06-30,0.5111142113095238
2019-07-03,0.5258959609336202
2019-07-06,0.34831762566137564
2019-07-09,0.5171957671957672
2019-07-12,0.3755787037037037
2019-07-15,0.5040612599206349
2019-07-18,0.4368347266213199
2019-07-21,0.41884592926259595
2019-07-24,0.5293418418418419
2019-07-27,0.357127961294628
2019-07-30,0.5033992325658992
2019-08-02,0.32982982982982983
2019-08-05,0.4049674674674675
2019-08-08,0.4137053720387054
2019-08-11,0.3905155155155155
2019-08-14,0.48150233566900236
2019-08-17,0.3325825825825826
2019-08-20,0.48409868201534867
2019-08-23,0.366846012679346
2019-08-26,0.5082686853520186
2019-08-29,0.42751084417751084
2019-09-01,0.39294502836169504
2019-09-04,0.5080914247580914
2019-09-07,0.3309768101434768
2019-09-10,0.5261325534809482
2019-09-13,0.3371705038371705
2019-09-16,0.49069492027238504
2019-09-19,0.45568485151818483
2019-09-22,0.3891495662328996
2019-09-25,0.5130651484818152
2019-09-28,0.28465965965965967
2019-10-01,0.4637554220887554
2019-10-04,0.3019894894894895
2019-10-07,0.5021584084084084
2019-10-10,0.43159826493159825
2019-10-13,0.3793898064731398
2019-10-16,0.5019394394394394
2019-10-19,0.30910076743410075
2019-10-22,0.498998998998999
2019-10-25,0.2913645352669743
2019-10-28,0.3790472607177944
2019-10-31,0.35751376376376376
2019-11-03,0.34345933418934577
2019-11-06,0.4252252252252252
2019-11-09,0.2746196288246113
2019-11-12,0.44145005096839957
2019-11-15,0.30043747876316684
2019-11-18,0.45801105607337006
2019-11-21,0.33256880733944955
2019-11-24,0.3395769622833843
2019-11-27,0.45350195378865105
2019-11-30,0.29187903499830103
2019-12-03,0.47378312945973494
2019-12-06,0.29229274218038265
2019-12-09,0.44266314948635543
2019-12-12,0.35941330282725936
2019-12-15,0.2997646742419149
2019-12-18,
2019-12-21,0.2597301365444576
2019-12-24,0.2008
2019-12-27,
2019-12-30,0.2552210121716848
2020-01-02,0.3751615132666246
2020-01-05,0.2709549982823772
2020-01-08,
2020-01-11,0.3976964769647697
2020-01-14,0.37295766802822133
2020-01-17,
2020-01-20,
